Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code
UberX,completed,2025-01-28T18:59:35.000Z,2025-01-28T19:04:14.000Z,2025-01-28T19:44:55.000Z,28.620014022045737,2441,0.1,67.77,0.0,USD
UberX,completed,2025-01-28T10:20:00.000Z,2025-01-28T10:13:30.000Z,2025-01-28T10:48:24.000Z,29.482560996914053,2094,0.1,67.83,0.0,USD
Green,completed,2025-01-28T09:28:35.000Z,2025-01-28T09:34:36.000Z,2025-01-28T10:04:04.000Z,10.423078250590503,1768,0.1,46.12,0.0,USD
UberX,completed,2025-01-28T09:17:17.000Z,2025-01-28T09:21:17.000Z,2025-01-28T09:27:41.000Z,1.3098801189733735,384,0.1,10.61,0.0,USD
Mid-Tier,completed,2025-01-28T07:44:52.000Z,2025-01-28T07:56:06.000Z,2025-01-28T08:20:49.000Z,5.515013508271006,1483,0.11,35.63,0.0,USD
UberX,completed,2025-01-28T07:31:34.000Z,2025-01-28T07:39:42.000Z,2025-01-28T07:44:10.000Z,1.6181984460891203,268,0.1,8.94,0.0,USD
Mid-Tier,completed,2025-01-27T23:34:52.000Z,2025-01-27T23:38:47.000Z,2025-01-27T23:53:14.000Z,8.537307807547275,867,0.11,26.7,0.0,USD
UberX,completed,2025-01-27T23:22:43.000Z,2025-01-27T23:25:23.000Z,2025-01-27T23:34:25.000Z,3.104020942511095,542,0.1,12.78,0.0,USD
UberX,completed,2025-01-27T23:15:23.000Z,2025-01-27T23:18:04.000Z,2025-01-27T23:21:20.000Z,0.9307973169807288,196,0.1,8.94,0.0,USD
Green,completed,2025-01-27T22:57:56.000Z,2025-01-27T22:59:27.000Z,2025-01-27T23:11:09.000Z,6.440134010043087,702,0.1,23.43,0.0,USD
UberX,completed,2025-01-27T22:47:54.000Z,2025-01-27T22:49:59.000Z,2025-01-27T22:53:58.000Z,1.1453220645032542,239,0.1,8.94,0.0,USD
Green,completed,2025-01-27T22:30:47.000Z,2025-01-27T22:33:17.000Z,2025-01-27T22:44:18.000Z,7.873216555491753,661,0.1,27.43,0.0,USD
Green,completed,2025-01-27T22:08:31.000Z,2025-01-27T22:12:55.000Z,2025-01-27T22:25:11.000Z,9.319104334636373,736,0.1,27.24,0.0,USD
UberX,completed,2025-01-27T12:13:05.000Z,2025-01-27T12:18:08.000Z,2025-01-27T12:34:17.000Z,4.2863498227697585,969,0.1,22.72,0.0,USD
Green,completed,2025-01-27T11:58:24.000Z,2025-01-27T12:00:27.000Z,2025-01-27T12:14:23.000Z,2.1686629443362557,836,0.1,11.46,0.0,USD
UberX,completed,2025-01-27T11:40:54.000Z,2025-01-27T11:47:15.000Z,2025-01-27T11:57:01.000Z,2.035397251159877,586,0.1,10.8,0.0,USD
Green,completed,2025-01-27T11:22:56.000Z,2025-01-27T11:26:09.000Z,2025-01-27T11:39:02.000Z,3.4448609126252423,773,0.1,18.86,0.0,USD
UberX,completed,2025-01-27T11:13:47.000Z,2025-01-27T11:15:09.000Z,2025-01-27T11:23:48.000Z,1.7154176996795196,519,0.1,8.94,0.0,USD
Green,completed,2025-01-27T10:39:10.000Z,2025-01-27T10:46:25.000Z,2025-01-27T11:10:33.000Z,7.713019902741714,1448,0.1,31.18,0.0,USD
UberX,completed,2025-01-27T10:23:33.000Z,2025-01-27T10:26:54.000Z,2025-01-27T10:38:13.000Z,4.425025318617673,679,0.1,18.14,0.0,USD
Mid-Tier,completed,2025-01-27T09:57:35.000Z,2025-01-27T10:01:47.000Z,2025-01-27T10:18:52.000Z,6.245761547937838,1025,0.11,27.13,0.0,USD
UberX,completed,2025-01-27T09:31:19.000Z,2025-01-27T09:35:57.000Z,2025-01-27T09:48:15.000Z,3.708171085402362,738,0.1,14.96,0.0,USD
UberX,completed,2025-01-27T09:06:01.000Z,2025-01-27T09:08:23.000Z,2025-01-27T09:22:25.000Z,5.783942734180749,842,0.1,23.23,0.0,USD
UberX,completed,2025-01-27T08:00:00.000Z,2025-01-27T08:03:46.000Z,2025-01-27T08:16:19.000Z,2.342417915371459,753,0.1,12.23,0.0,USD
UberX,completed,2025-01-27T07:20:00.000Z,2025-01-27T07:12:19.000Z,2025-01-27T07:40:38.000Z,14.964362081696917,1699,0.1,43.76,0.0,USD
UberX,completed,2025-01-27T06:38:17.000Z,2025-01-27T06:43:17.000Z,2025-01-27T06:59:57.000Z,6.3968607602642615,1000,0.1,20.05,0.0,USD
